vg	V(n001)	V(n002)	I(Vdd)	I(Vg)	Ib(M1)	Id(M1)	Ig(M1)	Is(M1)
Step Information: Vdd=0  (Step: 1/11)
6.000000000000000e+00	3.000000e+00	6.000000e+00	-2.700000e-04	0.000000e+00	-3.010000e-12	2.700000e-04	0.000000e+00	-2.700000e-04
7.000000000000000e+00	3.000000e+00	7.000000e+00	-3.300000e-04	0.000000e+00	-3.010000e-12	3.300000e-04	0.000000e+00	-3.300000e-04
8.000000000000000e+00	3.000000e+00	8.000000e+00	-3.900000e-04	0.000000e+00	-3.010000e-12	3.900000e-04	0.000000e+00	-3.900000e-04
9.000000000000000e+00	3.000000e+00	9.000000e+00	-4.500000e-04	0.000000e+00	-3.010000e-12	4.500000e-04	0.000000e+00	-4.500000e-04
1.000000000000000e+01	3.000000e+00	1.000000e+01	-5.100000e-04	0.000000e+00	-3.010000e-12	5.100000e-04	0.000000e+00	-5.100000e-04
Step Information: Vdd=4  (Step: 5/11)
0.000000000000000e+00	4.000000e+00	0.000000e+00	-8.010000e-12	0.000000e+00	-4.010000e-12	8.010000e-12	0.000000e+00	-4.000000e-12
1.000000000000000e+00	4.000000e+00	1.000000e+00	-1.000001e-05	0.000000e+00	-4.010000e-12	1.000001e-05	0.000000e+00	-1.000000e-05
2.000000000000000e+00	4.000000e+00	2.000000e+00	-4.000001e-05	0.000000e+00	-4.010000e-12	4.000001e-05	0.000000e+00	-4.000000e-05
3.000000000000000e+00	4.000000e+00	3.000000e+00	-9.000001e-05	0.000000e+00	-4.010000e-12	9.000001e-05	0.000000e+00	-9.000000e-05
4.000000000000000e+00	4.000000e+00	4.000000e+00	-1.600000e-04	0.000000e+00	-4.010000e-12	1.600000e-04	0.000000e+00	-1.600000e-04
5.000000000000000e+00	4.000000e+00	5.000000e+00	-2.400000e-04	0.000000e+00	-4.010000e-12	2.400000e-04	0.000000e+00	-2.400000e-04
6.000000000000000e+00	4.000000e+00	6.000000e+00	-3.200000e-04	0.000000e+00	-4.010000e-12	3.200000e-04	0.000000e+00	-3.200000e-04
7.000000000000000e+00	4.000000e+00	7.000000e+00	-4.000000e-04	0.000000e+00	-4.010000e-12	4.000000e-04	0.000000e+00	-4.000000e-04
8.000000000000000e+00	4.000000e+00	8.000000e+00	-4.800000e-04	0.000000e+00	-4.010000e-12	4.800000e-04	0.000000e+00	-4.800000e-04
9.000000000000000e+00	4.000000e+00	9.000000e+00	-5.600000e-04	0.000000e+00	-4.010000e-12	5.600000e-04	0.000000e+00	-5.600000e-04
1.000000000000000e+01	4.000000e+00	1.000000e+01	-6.400000e-04	0.000000e+00	-4.010000e-12	6.400000e-04	0.000000e+00	-6.400000e-04
Step Information: Vdd=5  (Step: 6/11)
0.000000000000000e+00	5.000000e+00	0.000000e+00	-1.001000e-11	0.000000e+00	-5.010000e-12	1.001000e-11	0.000000e+00	-5.000000e-12
