vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/16)
1.200000000000000e+01	3.011796e+00	1.200000e+01	6.987138e-01
1.400000000000000e+01	3.002107e+00	1.400000e+01	6.997668e-01
1.600000000000000e+01	2.995366e+00	1.600000e+01	7.004569e-01
1.800000000000000e+01	2.990405e+00	1.800000e+01	7.009571e-01
2.000000000000000e+01	2.986601e+00	2.000000e+01	7.013389e-01
2.200000000000000e+01	2.983591e+00	2.200000e+01	7.016404e-01
2.400000000000000e+01	2.981150e+00	2.400000e+01	7.018847e-01
2.600000000000000e+01	2.979131e+00	2.600000e+01	7.020868e-01
2.800000000000000e+01	2.977432e+00	2.800000e+01	7.022567e-01
3.000000000000000e+01	2.975984e+00	3.000000e+01	7.024016e-01
Step Information: Vdd=12  (Step: 7/16)
0.000000000000000e+00	1.200000e+01	0.000000e+00	1.479948e-11
2.000000000000000e+00	1.150379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	5.163238e+00	4.000000e+00	6.837291e-01
6.000000000000000e+00	3.758920e+00	6.000000e+00	8.238739e-01
8.000000000000000e+00	3.671129e+00	8.000000e+00	8.328870e-01
1.000000000000000e+01	3.635500e+00	1.000000e+01	8.364500e-01
1.200000000000000e+01	3.616043e+00	1.200000e+01	8.381988e-01
1.400000000000000e+01	3.603789e+00	1.400000e+01	8.395820e-01
1.600000000000000e+01	3.595340e+00	1.600000e+01	8.404551e-01
1.800000000000000e+01	3.589161e+00	1.800000e+01	8.410800e-01
2.000000000000000e+01	3.584446e+00	2.000000e+01	8.415537e-01
2.200000000000000e+01	3.580729e+00	2.200000e+01	8.419263e-01
2.400000000000000e+01	3.577724e+00	2.400000e+01	8.422272e-01
2.600000000000000e+01	3.575243e+00	2.600000e+01	8.424755e-01
2.800000000000000e+01	3.573161e+00	2.800000e+01	8.426838e-01
3.000000000000000e+01	3.571388e+00	3.000000e+01	8.428611e-01
Step Information: Vdd=14  (Step: 8/16)
0.000000000000000e+00	1.400000e+01	0.000000e+00	1.679907e-11
2.000000000000000e+00	1.350379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	7.163238e+00	4.000000e+00	6.837291e-01
6.000000000000000e+00	4.412955e+00	6.000000e+00	9.586992e-01
8.000000000000000e+00	4.291128e+00	8.000000e+00	9.700631e-01
1.000000000000000e+01	4.245404e+00	1.000000e+01	9.754595e-01
1.200000000000000e+01	4.221054e+00	1.200000e+01	9.775508e-01
1.400000000000000e+01	4.205965e+00	1.400000e+01	9.793389e-01
1.600000000000000e+01	4.195658e+00	1.600000e+01	9.804170e-01
1.800000000000000e+01	4.188171e+00	1.800000e+01	9.811769e-01
2.000000000000000e+01	4.182486e+00	2.000000e+01	9.817490e-01
2.200000000000000e+01	4.178021e+00	2.200000e+01	9.821967e-01
2.400000000000000e+01	4.174422e+00	2.400000e+01	9.825572e-01
2.600000000000000e+01	4.171459e+00	2.600000e+01	9.828538e-01
2.800000000000000e+01	4.168976e+00	2.800000e+01	9.831022e-01
3.000000000000000e+01	4.166867e+00	3.000000e+01	9.833133e-01
Step Information: Vdd=16  (Step: 9/16)
0.000000000000000e+00	1.600000e+01	0.000000e+00	1.879925e-11
2.000000000000000e+00	1.550379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	9.163239e+00	4.000000e+00	6.837291e-01
6.000000000000000e+00	5.084139e+00	6.000000e+00	1.091562e+00
8.000000000000000e+00	4.914997e+00	8.000000e+00	1.108500e+00
1.000000000000000e+01	4.856839e+00	1.000000e+01	1.114315e+00
1.200000000000000e+01	4.826896e+00	1.200000e+01	1.116711e+00
1.400000000000000e+01	4.808671e+00	1.400000e+01	1.119030e+00
1.600000000000000e+01	4.796341e+00	1.600000e+01	1.120340e+00
1.800000000000000e+01	4.787447e+00	1.800000e+01	1.121246e+00
2.000000000000000e+01	4.780729e+00	2.000000e+01	1.121924e+00
2.200000000000000e+01	4.775474e+00	2.200000e+01	1.122451e+00
2.400000000000000e+01	4.771250e+00	2.400000e+01	1.122874e+00
2.600000000000000e+01	4.767781e+00	2.600000e+01	1.123222e+00
2.800000000000000e+01	4.764881e+00	2.800000e+01	1.123512e+00
3.000000000000000e+01	4.762421e+00	3.000000e+01	1.123758e+00
Step Information: Vdd=18  (Step: 10/16)
0.000000000000000e+00	1.800000e+01	0.000000e+00	2.079883e-11
2.000000000000000e+00	1.750379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	1.116324e+01	4.000000e+00	6.837291e-01
6.000000000000000e+00	5.783003e+00	6.000000e+00	1.222252e+00
8.000000000000000e+00	5.543138e+00	8.000000e+00	1.245686e+00
1.000000000000000e+01	5.470013e+00	1.000000e+01	1.252994e+00
1.200000000000000e+01	5.433649e+00	1.200000e+01	1.255618e+00
1.400000000000000e+01	5.411950e+00	1.400000e+01	1.258643e+00
1.600000000000000e+01	5.397414e+00	1.600000e+01	1.260220e+00
1.800000000000000e+01	5.387006e+00	1.800000e+01	1.261286e+00
2.000000000000000e+01	5.379185e+00	2.000000e+01	1.262076e+00
2.200000000000000e+01	5.373093e+00	2.200000e+01	1.262689e+00
2.400000000000000e+01	5.368212e+00	2.400000e+01	1.263178e+00
2.600000000000000e+01	5.364213e+00	2.600000e+01	1.263578e+00
2.800000000000000e+01	5.360878e+00	2.800000e+01	1.263912e+00
